# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  1.976262583364986e-323  32  5.954248685551646e+01  1.959986013000000e+00  1.661481430000000e-01
3.535533910000000e-01  17496  1.976262583364986e-323  32  5.954248685551646e+01  1.959986013000000e+00  1.057143220000000e-01
3.535533910000000e-01  17496  1.976262583364986e-323  32  5.954248685551646e+01  1.959986013000000e+00  1.048947410000000e-01
3.535533910000000e-01  17496  1.976262583364986e-323  32  5.954248685551646e+01  1.959986013000000e+00  1.034939580000000e-01
3.535533910000000e-01  17496  1.976262583364986e-323  32  5.954248685551646e+01  1.959986013000000e+00  1.046418190000000e-01
3.535533910000000e-01  17496  1.976262583364986e-323  32  5.954248685551646e+01  1.959986013000000e+00  1.092588420000000e-01
3.535533910000000e-01  17496  1.976262583364986e-323  32  5.954248685551646e+01  1.959986013000000e+00  1.047776320000000e-01
3.535533910000000e-01  17496  1.976262583364986e-323  32  5.954248685551646e+01  1.959986013000000e+00  1.039051930000000e-01
3.535533910000000e-01  17496  1.976262583364986e-323  32  5.954248685551646e+01  1.959986013000000e+00  1.064440760000000e-01
3.535533910000000e-01  17496  1.976262583364986e-323  32  5.954248685551646e+01  1.959986013000000e+00  1.061934490000000e-01
3.535533910000000e-01  17496  1.976262583364986e-323  32  5.954248685551646e+01  1.959986013000000e+00  1.090387740000000e-01
3.535533910000000e-01  17496  1.976262583364986e-323  32  5.954248685551646e+01  1.959986013000000e+00  1.094938990000000e-01
3.535533910000000e-01  17496  1.976262583364986e-323  32  5.954248685551646e+01  1.959986013000000e+00  1.109026530000000e-01
3.535533910000000e-01  17496  1.976262583364986e-323  32  5.954248685551646e+01  1.959986013000000e+00  1.065128950000000e-01
3.535533910000000e-01  17496  1.976262583364986e-323  32  5.954248685551646e+01  1.959986013000000e+00  1.059834660000000e-01
2.500000000000000e-01  20856  1.976262583364986e-323  78  1.938991901187954e+02  2.348257697000000e+00  1.509406760000000e-01
2.500000000000000e-01  20856  1.976262583364986e-323  78  1.938991901187954e+02  2.348257697000000e+00  1.501952180000000e-01
2.500000000000000e-01  20856  1.976262583364986e-323  78  1.938991901187954e+02  2.348257697000000e+00  1.530517840000000e-01
2.500000000000000e-01  20856  1.976262583364986e-323  78  1.938991901187954e+02  2.348257697000000e+00  1.524785200000000e-01
2.500000000000000e-01  20856  1.976262583364986e-323  78  1.938991901187954e+02  2.348257697000000e+00  1.513301680000000e-01
2.500000000000000e-01  20856  1.976262583364986e-323  78  1.938991901187954e+02  2.348257697000000e+00  1.500613950000000e-01
2.500000000000000e-01  20856  1.976262583364986e-323  78  1.938991901187954e+02  2.348257697000000e+00  1.478137770000000e-01
2.500000000000000e-01  20856  1.976262583364986e-323  78  1.938991901187954e+02  2.348257697000000e+00  1.472001520000000e-01
2.500000000000000e-01  20856  1.976262583364986e-323  78  1.938991901187954e+02  2.348257697000000e+00  1.471524190000000e-01
2.500000000000000e-01  20856  1.976262583364986e-323  78  1.938991901187954e+02  2.348257697000000e+00  1.570784630000000e-01
2.500000000000000e-01  20856  1.976262583364986e-323  78  1.938991901187954e+02  2.348257697000000e+00  2.027798360000000e-01
2.500000000000000e-01  20856  1.976262583364986e-323  78  1.938991901187954e+02  2.348257697000000e+00  2.445770880000000e-01
2.500000000000000e-01  20856  1.976262583364986e-323  78  1.938991901187954e+02  2.348257697000000e+00  2.800468330000000e-01
2.500000000000000e-01  20856  1.976262583364986e-323  78  1.938991901187954e+02  2.348257697000000e+00  3.207816460000000e-01
