# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  0.000000000000000e+00  14  2.404611118953090e+00  2.668551964000000e+00  4.044041920000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  14  2.404611118953090e+00  2.668551964000000e+00  3.626139270000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  14  2.404611118953090e+00  2.668551964000000e+00  3.768682570000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  14  2.404611118953090e+00  2.668551964000000e+00  4.333291260000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  14  2.404611118953090e+00  2.668551964000000e+00  4.421895140000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  14  2.404611118953090e+00  2.668551964000000e+00  3.843620480000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  14  2.404611118953090e+00  2.668551964000000e+00  4.122166020000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  14  2.404611118953090e+00  2.668551964000000e+00  3.578036500000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  14  2.404611118953090e+00  2.668551964000000e+00  3.594899310000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  14  2.404611118953090e+00  2.668551964000000e+00  3.576198360000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  14  2.404611118953090e+00  2.668551964000000e+00  3.600482390000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  14  2.404611118953090e+00  2.668551964000000e+00  3.637273740000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  14  2.404611118953090e+00  2.668551964000000e+00  3.603526300000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  14  2.404611118953090e+00  2.668551964000000e+00  3.603144200000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  14  2.404611118953090e+00  2.668551964000000e+00  4.524379150000000e-01
2.500000000000000e-01  20856  0.000000000000000e+00  17  3.359771996538806e+00  4.697024334000000e+00  6.873600260000000e-01
2.500000000000000e-01  20856  0.000000000000000e+00  17  3.359771996538806e+00  4.697024334000000e+00  7.038187970000001e-01
2.500000000000000e-01  20856  0.000000000000000e+00  17  3.359771996538806e+00  4.697024334000000e+00  7.133107570000000e-01
2.500000000000000e-01  20856  0.000000000000000e+00  17  3.359771996538806e+00  4.697024334000000e+00  7.061963110000000e-01
2.500000000000000e-01  20856  0.000000000000000e+00  17  3.359771996538806e+00  4.697024334000000e+00  6.988148300000000e-01
2.500000000000000e-01  20856  0.000000000000000e+00  17  3.359771996538806e+00  4.697024334000000e+00  7.025988520000001e-01
2.500000000000000e-01  20856  0.000000000000000e+00  17  3.359771996538806e+00  4.697024334000000e+00  7.125776000000000e-01
2.500000000000000e-01  20856  0.000000000000000e+00  17  3.359771996538806e+00  4.697024334000000e+00  7.005017700000000e-01
2.500000000000000e-01  20856  0.000000000000000e+00  17  3.359771996538806e+00  4.697024334000000e+00  6.992376350000000e-01
2.500000000000000e-01  20856  0.000000000000000e+00  17  3.359771996538806e+00  4.697024334000000e+00  6.912132180000000e-01
2.500000000000000e-01  20856  0.000000000000000e+00  17  3.359771996538806e+00  4.697024334000000e+00  7.038899250000000e-01
2.500000000000000e-01  20856  0.000000000000000e+00  17  3.359771996538806e+00  4.697024334000000e+00  6.987815110000000e-01
2.500000000000000e-01  20856  0.000000000000000e+00  17  3.359771996538806e+00  4.697024334000000e+00  6.958761980000000e-01
2.500000000000000e-01  20856  0.000000000000000e+00  17  3.359771996538806e+00  4.697024334000000e+00  6.937579790000000e-01
2.500000000000000e-01  20856  0.000000000000000e+00  17  3.359771996538806e+00  4.697024334000000e+00  7.001876100000000e-01
1.767766950000000e-01  28264  0.000000000000000e+00  21  5.383650174294588e+00  6.510655680999999e+00  1.027352319000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  21  5.383650174294588e+00  6.510655680999999e+00  1.052466287000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  21  5.383650174294588e+00  6.510655680999999e+00  1.047956783000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  21  5.383650174294588e+00  6.510655680999999e+00  1.041586489000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  21  5.383650174294588e+00  6.510655680999999e+00  1.043465678000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  21  5.383650174294588e+00  6.510655680999999e+00  1.041988883000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  21  5.383650174294588e+00  6.510655680999999e+00  1.038464206000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  21  5.383650174294588e+00  6.510655680999999e+00  1.051078607000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  21  5.383650174294588e+00  6.510655680999999e+00  1.041380595000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  21  5.383650174294588e+00  6.510655680999999e+00  1.041922489000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  21  5.383650174294588e+00  6.510655680999999e+00  1.043871996000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  21  5.383650174294588e+00  6.510655680999999e+00  1.039997980000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  21  5.383650174294588e+00  6.510655680999999e+00  1.031809593000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  21  5.383650174294588e+00  6.510655680999999e+00  1.050377077000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  21  5.383650174294588e+00  6.510655680999999e+00  1.033483804000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  24  7.534745289320766e+00  1.334410612400000e+01  2.831928872000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  24  7.534745289320766e+00  1.334410612400000e+01  3.181899263000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  24  7.534745289320766e+00  1.334410612400000e+01  3.178235563000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  24  7.534745289320766e+00  1.334410612400000e+01  3.140077282000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  24  7.534745289320766e+00  1.334410612400000e+01  3.145048069000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  24  7.534745289320766e+00  1.334410612400000e+01  3.127666405000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  24  7.534745289320766e+00  1.334410612400000e+01  3.118501574000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  24  7.534745289320766e+00  1.334410612400000e+01  3.119006119000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  24  7.534745289320766e+00  1.334410612400000e+01  3.173499862000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  24  7.534745289320766e+00  1.334410612400000e+01  3.135796595000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  24  7.534745289320766e+00  1.334410612400000e+01  3.135998756000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  24  7.534745289320766e+00  1.334410612400000e+01  3.170240494000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  24  7.534745289320766e+00  1.334410612400000e+01  3.178315753000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  24  7.534745289320766e+00  1.334410612400000e+01  3.113270185000000e+00
