# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  0.000000000000000e+00  10  1.605458610326793e+00  2.694899141000000e+00  5.492438800000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  10  1.605458610326793e+00  2.694899141000000e+00  5.394615090000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  10  1.605458610326793e+00  2.694899141000000e+00  5.364868030000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  10  1.605458610326793e+00  2.694899141000000e+00  5.813175790000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  10  1.605458610326793e+00  2.694899141000000e+00  7.780553609999999e-01
3.535533910000000e-01  17496  0.000000000000000e+00  10  1.605458610326793e+00  2.694899141000000e+00  8.152346480000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  10  1.605458610326793e+00  2.694899141000000e+00  8.204056830000001e-01
3.535533910000000e-01  17496  0.000000000000000e+00  10  1.605458610326793e+00  2.694899141000000e+00  8.141272730000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  10  1.605458610326793e+00  2.694899141000000e+00  8.076748570000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  10  1.605458610326793e+00  2.694899141000000e+00  8.114670430000001e-01
3.535533910000000e-01  17496  0.000000000000000e+00  10  1.605458610326793e+00  2.694899141000000e+00  8.122317440000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  10  1.605458610326793e+00  2.694899141000000e+00  8.376408800000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  10  1.605458610326793e+00  2.694899141000000e+00  8.525961280000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  10  1.605458610326793e+00  2.694899141000000e+00  8.608464900000000e-01
3.535533910000000e-01  17496  0.000000000000000e+00  10  1.605458610326793e+00  2.694899141000000e+00  9.453008340000000e-01

2.500000000000000e-01  20856  0.000000000000000e+00  11  1.882296502937631e+00  5.218917251000000e+00  1.117242212000000e+00
2.500000000000000e-01  20856  0.000000000000000e+00  11  1.882296502937631e+00  5.218917251000000e+00  1.055193479000000e+00
2.500000000000000e-01  20856  0.000000000000000e+00  11  1.882296502937631e+00  5.218917251000000e+00  1.042538094000000e+00
2.500000000000000e-01  20856  0.000000000000000e+00  11  1.882296502937631e+00  5.218917251000000e+00  1.145421670000000e+00
2.500000000000000e-01  20856  0.000000000000000e+00  11  1.882296502937631e+00  5.218917251000000e+00  1.200142448000000e+00
2.500000000000000e-01  20856  0.000000000000000e+00  11  1.882296502937631e+00  5.218917251000000e+00  1.124743948000000e+00
